,text,Label,created_at
0,the batman gt; spiderman no way hom,neg,2022-04-16T23:58:33+00:00
1,find it slightly silly that the spiderman no way home disc doesnt feature any spoilers for you know who (menu is the animated ending scene selections only feature certain characters cover of the discs etc). i mean if you dont know by now...,neg,2022-04-16T23:55:39+00:00
2,spiderman no way home had kraven planned for villano but they would pass it to (very possibly) ... maybe the same thing happens with nightmare that was going to be the villain of this sequel,neg,2022-04-16T23:51:20+00:00
3,spiderman: no way home comfort movie is in my possession and yall gonna lose me for a whil,neg,2022-04-16T23:44:32+00:00
4,"mr. holland i watched spiderman : no way home last night amp; the scene when you held your aunt may amp; said ""its just you and me remember?"" my mama passed a few years ago amp; that moment reminded me how much she loved me amp; the tears just came. thank you man.",pos,2022-04-16T23:44:16+00:00
5,i finished watching spiderman no way home again since day one in theaters still cried alot im still crying of sadness and happiness. i wish i had art to show how much i cri,neg,2022-04-16T23:38:37+00:00
6,i just saw an ad for the new jurassic park movie and i recalled scenes from jason bourne day after tomorrow spiderman no way home and oh..other jurassic park movies about dinosaurs and stuff.,neg,2022-04-16T23:36:36+00:00
7,dumb/nerd question: i dont remember electro knowing that peter parker is spiderman but i thought vulture did. was there a swap of the characters before no way home?,neg,2022-04-16T23:36:19+00:00
8,what are your thoughts about spiderman no way hom,neg,2022-04-16T23:24:37+00:00
9,ahhhhhh when finally watched spiderman no way home and the fandom is going crazy what are your thoughts about it my love?,neg,2022-04-16T23:23:26+00:00
10,aaaaaa i just watched spiderman no way home i loved it i loved everything about it aaaaaaa,pos,2022-04-16T23:21:23+00:00
11,spiderman no way home is now on telegram,neg,2022-04-16T23:17:08+00:00
12,what are your thoughts on the marvel legends spider-man miles morales no way home armadillo baf gamerverseaction figure. amazingspiderman spiderman milesmorales gamerverse spiderverse marvellegends marvelcomics marvelstudios marvel,neg,2022-04-16T23:06:03+00:00
13,i already burst venom spiderman no way home now i go to moon knight and monday the batman late but i almost update myself in may comes to see what strange brings.,neg,2022-04-16T22:56:38+00:00
14,spider man no way hom,neg,2022-04-16T22:53:19+00:00
15,"spiderman: no way home
(dir: jon watts)
personal note: /
exhibition: the movie
someone really has to tell mcu scriptwriters that we are not so asshol",neg,2022-04-16T22:47:18+00:00
16,firstly i know im late unforgivably late but spiderman: no way home what an unbelievable film. acting writing directing all of it how they pieced all that together the way they did. oh man spiritual. that scene if youve watched it you know which scene. spiritu,neg,2022-04-16T22:41:55+00:00
17,i retape myself spiderman no way home and its always too incredible to see andrew and tobey back i would never thank so much marvel dizar cre a.,pos,2022-04-16T22:40:17+00:00
18,casually gonna be watching spiderman no way home tonight amp; having a family member give me a rundown of what i need to know bc i havent seen the others lol (im very behind in marvel lol),pos,2022-04-16T22:39:54+00:00
19,no way home at the same level as spiderman man.,neg,2022-04-16T22:39:33+00:00
20,hallucinating with spiderman no way home.,neg,2022-04-16T22:32:21+00:00
21,bro spiderman: no way home was so damn good idk how to explain it,neg,2022-04-16T22:32:00+00:00
22,get drunk watching spiderman no way home. highly recommend,neg,2022-04-16T22:29:59+00:00
23,new spider man no way home in uhd and with pizza,pos,2022-04-16T22:28:50+00:00
24,please release deleted scenes of spider-man no way hom,neg,2022-04-16T22:17:53+00:00
